gem_id,name,source,publisher,size_kb,language,lines_count,function_description,category,priority_stars,source_url,installation_status,notes
GEM_001,Google Dataflow Python Template,GoogleCloudPlatform/professional-services,Google,120,Python,144,Complete Flex Template structure with Dockerfile,full_module,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Official Google template
GEM_002,Airflow BeamRunPythonPipelineOperator,janaom/gcp-data-engineering-etl,Community,4,Python,84,Airflow DAG for running Beam pipelines,code_snippet,⭐⭐⭐⭐⭐,https://github.com/janaom/gcp-data-engineering-etl-with-composer-dataflow,pending,Production-ready DAG
GEM_003,OpenITI Arabic Text Helpers,OpenITI/openiti,OpenITI,16,Python,411,Arabic text normalization and processing,code_snippet,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,Academic standard
GEM_004,Text Reuse Detection Tutorial,programminghistorian,Programming Historian,64,Markdown,909,Complete guide for text reuse detection,documentation,⭐⭐⭐⭐,https://programminghistorian.org/,reference,Academic methodology
GEM_005,Cloud Build YAML,GoogleCloudPlatform/professional-services,Google,4,YAML,14,CI/CD configuration for GCP,config_file,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Production CI/CD
GEM_006,BigQuery Pipeline Framework,GoogleCloudPlatform/professional-services,Google,16,Python,368,Complete BQ ETL framework,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Enterprise ETL pattern
GEM_007,Airflow DAG Example,GoogleCloudPlatform/professional-services,Google,12,Python,231,Airflow orchestration pattern,code_snippet,⭐⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Production orchestration
GEM_008,OpenITI pyproject.toml,OpenITI/openiti,OpenITI,4,toml,60,config_file,file,⭐⭐⭐⭐,https://github.com/OpenITI/openiti,pending,PEP 517 standard
GEM_009,Dataflow Near-Realtime Engineering,GoogleCloudPlatform/professional-services,Google,224,Python,,Near-realtime feature engineering,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Streaming pattern
GEM_010,AWS Glue ETL Examples,aws-samples/aws-glue-samples,Amazon,24,Python,~200,AWS ETL patterns,code_snippet,⭐⭐⭐,https://github.com/aws-samples/aws-glue-samples,reference,Alternative cloud pattern
GEM_011,TEI Bare Guidelines,TEIC/TEI,TEI Consortium,8,XML,149,Text encoding standards,documentation,⭐⭐⭐,https://github.com/TEIC/TEI,reference,Academic encoding standard
GEM_013,Pelagios LOD Cookbook,pelagios/pelagios-cookbook,Pelagios,8,Markdown,~100,Linked Open Data for heritage,documentation,⭐⭐⭐,https://github.com/pelagios/pelagios-cookbook,reference,LOD methodology
GEM_014,Big Data with Neo4j,programminghistorian,Programming Historian,24,Markdown,457,Graph databases for DH,documentation,⭐⭐⭐⭐,https://programminghistorian.org/,reference,Knowledge graph pattern
GEM_015,Azure Text Mining,programminghistorian,Programming Historian,40,Markdown,552,Cloud AI for text processing,documentation,⭐⭐⭐,https://programminghistorian.org/,reference,Alternative AI pattern
GEM_016,Dataflow Streaming Benchmark,GoogleCloudPlatform/professional-services,Google,204,Python,,Performance testing for streaming,full_module,⭐⭐⭐⭐,https://github.com/GoogleCloudPlatform/professional-services,pending,Benchmarking pattern
